Epic,Title,Description,AcceptanceCriteria,Size,Labels
Foundations,ENVローダ/型安全設定,"zodで必須ENV(ATLAS_CLIENT_ID/SECRET, REDIRECT_URI, ENCRYPTION_KEY, FEATURE_FLAGS等)を検証し、起動時にFail-fastする。`src/config.ts` を作成する。",全ENVの欠落時に起動エラー; 既定値/型がテストで保証される。,S,"backend,config"
Foundations,共通エラー型/HTTP例外,HTTP例外(ステータス/メッセージ/ヒント/原因)の型を `src/lib/errors.ts` に定義し、下層から上層まで伝播可能にする。,APIエラー(400/403/404/429/5xx)を型安全にハンドリングできる。,S,"backend,errors"
OAuth,認可エンドポイントとコールバック,"GET /auth/atlassian/login で同意画面へリダイレクトし、/auth/atlassian/callback でcode受領→token交換。state検証。audience=api.atlassian.com, scope=offline_access read:user:jira read:issue.watcher:jira write:issue.watcher:jira。",正しくトークン/リフレッシュトークン取得; CSRF(state)が検証される。,M,oauth
OAuth,accessible-resources取得とcloudId保存,POST交換後のアクセストークンで /oauth/token/accessible-resources を取得しcloudId一覧を得る。ユーザー毎の既定cloudIdを保存するAPIとストレージを用意。,複数サイト時にcloudId選択→保存/切替が可能。,M,oauth
OAuth,TokenStore(暗号化/期限前更新),AES-256-GCMでトークンを暗号化保存。期限前のリフレッシュ更新と失効検知→再接続フローに対応(回転式refresh_tokenは次フェーズへ)。,期限切れ前に自動更新; 失効時は再同意を促すステータスを返す。,M,"oauth,security"
OAuth,アクセストークン更新ミドルウェア,API呼び出し前に期限を確認し必要に応じてリフレッシュするミドルウェアを実装。,更新が透過的に機能し、失敗時は明確な再接続エラーを返せる。,S,oauth
JiraClient,HTTP基盤/再試行・バックオフ,undiciでHTTPクライアントを実装。429/5xxは指数バックオフ+Jitter、Retry-After尊重。タイムアウト/リトライ回数は設定化。,レートスパイク時に自動回復; 主要APIの失敗がメトリクス化される。,M,"backend,http"
JiraClient,callV2Json/callV3Jsonヘルパ,api.atlassian.com/ex/jira/{cloudId}/rest/api/{2|3} で呼べる汎用ヘルパを追加。,v2/v3の混在を安全に扱える; 単体テストあり。,S,backend
JiraClient,Watchers APIラッパ(追加/削除/取得),"addWatcher(issueKey, accountId) (POST bodyはJSON.stringify(accountId)), deleteWatcher(issueKey, accountId), getWatchers(issueKey) を実装。",204/200の正常系; 400/403/404の正規化; 単体テスト完了。,M,"backend,jira"
Resolver,Schema変更(fuzzy/ask/auto),jira_resolve_accountIdsの入力に query/issueKey/projectKey/mode(fuzzy|exact)/disambiguation(ask|auto)/limit を追加。出力に resolved/candidates/ambiguous/none を追加。,スキーマで不正入力を拒否; 互換保持; OpenAPI/JSON Schema更新。,S,"resolver,api"
